編號,使用執照,解列戶數,行政區,列管地址,列管日期,解列年度,解列原因,備註
1,75-0637,1,士林區,士林區至善路二段421巷21號,86.11.07,99年前,拆除,
2,70-0628,125,士林區,士林區福志路62號,84.07.20,99年前,拆除,福林家園社區
3,69-1338,16,士林區,士林區文林路643巷21、23、25、27號,88.05.03,99年前,拆除,文昌公寓
4,73-0659,10,北投區,北投區中央北路4段218號、220號,89.05.11,99年前,拆除,
5,79-0538,26,信義區,信義區永吉路197號至207號1樓至8樓,89.08.30,99年前,拆除,首都福星大樓
6,73-0391,10,士林區,士林區重慶北路四段49巷10弄2號、4號,90.12.07,99年前,拆除,
7,70-0807,15,士林區,士林區福港街262巷19號、通河東街一段45號47號,88.04.08,99年前,拆除,
8,75-0909,59,中正區,中正區和平西路一段100至104號、廈門街10號,93.05.26,99年前,拆除,南海名園大廈
9,75-0398,53,信義區,信義區仁愛路四段448號,89.08.29,99年前,拆除,晶宮大廈
10,74-0593,9,大安區,大安區大安路一段52巷12號等,93.10.20,99年前,拆除,
11,73-1739,266,南港區,南港區東新街168巷14號(修德國宅),90.08.28,99年前,拆除,修德國宅
12,70-0705,10,北投區,北投區中央北路4段18巷37弄10號(1-5樓)及中央北路4段30巷20號(1-5樓),95.03.14,99,拆除,
13,76-0918,88,內湖區,內湖區東湖里聯邦合家歡吉祥區（康樂街136巷18弄15號至29號單號(1至5樓)、康樂街136巷30弄12號至22號偶號(1至5樓)、康樂街110巷17至23號單號(1至5樓),99.07.30,99,拆除,聯邦合家歡【吉祥區】
14,79-0269,42,中山區,中山區朱崙街50、52、54、56號(1至7樓)及遼寧街81巷5、7號(1至7樓),99.07.30,101,拆除,中興華廈
15,84-0590,79,信義區,信義區基隆路2段149號1至12樓,100.08.30,101,拆除,
16,73-0628,22,內湖區,內湖區內湖路2段103巷34、36號（1至11樓）,99.07.30,102,拆除,白金翰大廈
17,71-0004,1,士林區,士林區承德路4段1巷25號,100.10.28,103,拆除,
18,75-1072,5,內湖區,內湖區內湖路2段179巷50-2號1樓至5樓,99.07.30,103,拆除,
19,73-0519,35,士林區,士林區天母北路56號(1至7樓)、56之1號(1至7樓)、56之2號(1至7樓)、56之3號(1至7樓)、56之4號(1至7樓),99.07.30,103,拆除,鳳凰華廈
20,76-0790,20,內湖區,內湖區東湖里聯邦合家歡如意區（康樂街110巷6號至12號偶號(1至5樓）),99.07.30,104,拆除,聯邦合家歡【如意區】
21,70-2126,67,松山區,松山區饒河街（199、201、203號）、201號之1、199號（2至9樓）、199號2樓之1至9樓之1、199號2樓之2至9樓之2、201號（2至9樓）、201號2樓之1至9樓之1、201號2樓之2至9樓之2、203號（2至9樓）、205號（1至9樓）,99.07.30,104,拆除,松園大廈
22,78-0855,28,士林區,士林區士東路91巷1、1之1、1之2、1之3號(各1至7樓),99.12.21,104,拆除,
23,66-0781,1,士林區,士林區德行西路15、17號等全棟(地下1樓至地上4樓),101.11.28,104,拆除,原拆除重建案完成拆除重建
24,74-1287,97,大同區,大同區重慶北路3段347號地下1樓~3樓及4樓、哈密街59巷38弄49號5樓~12樓之1~6、哈密街59巷38弄50號5樓~12樓之1~6(大龍國宅),101.05.15,104,拆除,大龍國宅大龍市場
25,077-0121,102,中正區,中正區辛亥路1段2、4、6、6之1、6之2、8、8之1、8之2、10、12、12之1、12之2號及汀州路3段57、59、61號等全棟,102.08.09,104,拆除,
26,76-0919,110,內湖區,內湖區康樂街136巷29弄6~40之5號（雙號）計110戶,99.07.30,105,拆除,聯邦合家歡【富貴Ａ】
27,76-0919,140,內湖區,內湖區康樂街136巷30弄1~55號（單號）計140戶,99.07.30,105,拆除,聯邦合家歡【富貴Ｂ】
28,072-0489,19,大安區,大安區敦化南路1段130號（1樓、2樓、3樓、4樓、5樓、6樓、6樓之1、7樓）、132號（1樓、2樓、2樓之1、3樓、3樓之1、4樓、5樓、6樓、7樓）、134號,100.08.09,106,拆除,旭翔彩虹
29,074-0676,77,大安區,大安區敦化南路1段138號全棟,100.08.18,106,拆除,旭翔彩虹
30,073-0023,20,內湖區,內湖區金龍路219、221、223、225號等計20戶,104.03.25,106,拆除,
31,071-1631,22,士林區,士林區德行東路252、254、256號等計22戶,99.07.30,107,拆除,芝山鑽石大樓
32,077-0430,10,大同區,大同區太原路13之1號等1棟地下2層至第上8層建築物計10戶,106.06.20,107,拆除,107年解列地上8戶110年解列地下2戶
33,070-0900,5,北投區,北投區知行路1巷24號地下一層至地上五層計5戶,106.01.18,107,拆除,
34,069-1857,1,北投區,北投區立德路120巷25號地上2層全1棟1戶建築物,107.03.14,107,拆除,
35,071-0354,10,內湖區,內湖區內湖路2段179巷3弄1號地下室、1樓、2樓、3樓、4樓、5樓及3號地下室、1樓、2樓、3樓、4樓、5樓樓（1棟10戶）建築物,103.03.19,108,拆除,
36,069-1020,36,士林區,士林區天玉街27巷15、17、19、21、23、25、27號全棟,101.11.02,108,拆除,
37,070-1942,37,士林區,士林區中山北路7段81巷16弄9、9之1、9之2、9之3、9之4號全棟,101.04.16,108,拆除,
38,073-0776,5,士林區,士林區小西街2-2號1至5樓及地下室等共五戶全棟,102.11.14,109,拆除,
39,074-1453,80,大安區,大安區臥龍街262之2、268、268之1、270、270之1號、臥龍街264巷1、2、3、4號、臥龍街272巷6弄1、2、3、4、5、6、7號全家福社區全棟計80戶,104.05.26,109,拆除,全家福社區
40,74-1199,19,中正區,中正區愛國東路100號1樓、100號2樓、【（100號、102號）3樓至（100號、102號）15樓計13戶】、102號1樓、102號2樓、100之1號、104號(新隆國宅),99.07.30,100,拆除,新隆國宅
41,073-1006,2,北投區,北投區溫泉路142號、142之1號全棟,102.08.07,108,拆除,
42,070-0035,24,北投區,北投區大度路3段193號、195號、197號、199號、201號、203號等(1至4樓),99.07.30,109,優先強制拆除,109.03.05拆除
43,066-1469,2,士林區,士林區至誠路1段305巷3弄10、12號,99.07.30,108,拆除,
44,067-1336,53,中山區,中山區明水路367至369(單)號1至4樓、371號1樓、373至379(單)號1至4樓及北安路458巷51弄12至24(雙)號1至4樓等2棟地下1層至地上4層建築物計53戶,106.5.17,109,拆除,
45,078-0385,6,中山區,中山區龍江路37巷26號1至6樓,102.03.15,109,拆除,
46,068-1584,30,士林區,士林區天母東路91巷2、4、6、8號及天母東路93、95號全棟(地下1層、地上5層)建築物共30戶,103.07.29,110,拆除,
47,070-0814,16,北投區,北投區中央北路1段74、76、78號(地下1層、地上5層)全棟建築物共16戶,104.02.25,110,拆除,
48,070-1625,17,北投區,北投區中央北路1段80、82號(地下1層、地上5層)全棟建築物共17戶,104.02.25,110,拆除,
49,079-0267,5,北投區,北投區育仁路104巷8號地上1層至地上5層全棟建築物計5戶,108.05.24,110,拆除,
50,070-1386,5,北投區,北投區中央北路1段86號地上1層至地上5層全棟建築物計5戶,108.05.24,110,拆除,
51,070-1546,20,士林區,士林區天母東路105巷9弄6、8、10、12號全棟(地下1層、地上5層)建築物共20戶,99.07.30,110,拆除,
52,078-0580,1,大安區,大安區羅斯福路3段269巷5號,110.01.27,110,拆除,
53,076-0147,27,松山區,松山區八德路4段169號、171號、169號及171號地下1層至地上7層等1棟,108.12.12,111,拆除,
54,073-0714,80,中山區,中山區大直街84巷1至19號（單號）及94巷2至12號（雙號）（1至5樓),99.07.30,111,拆除,
55,073-0213,45,內湖區,內湖區江南街71巷16弄5、5之1、5之2、5之3、7、7之1、7之2、7之3及7之4號（4棟45戶）,103.07.02,111,拆除,
56,069-0995,43,北投區,北投區明德路257、259、259-1、261、263、263-1號(1至7樓)、257號地下,99.07.30,112,拆除,
57,073-0665,60,內湖區,內湖區康樂街136巷10至16(雙)號、康樂街136巷18弄2至8(雙)、12至18(雙)號地下1樓至地上5層全棟建築物共60戶,105.03.15,112,拆除,
58,072-0456,1,北投區,北投區立德路121巷5號建築物,109.08.06,112,拆除,
59,074-0020,1,文山區,文山區辛亥路4段101巷93弄13號1棟(地上2層)建築物共1戶,105.01.05,112,拆除,
60,077-0039,45,內湖區,內湖區東湖里聯邦合家歡之福祿區（安泰街38巷6號至22號偶號(1至5樓）,99.07.30,112,拆除,聯邦合家歡【福祿區】
61,070-2099,30,信義區,信義區吳興街600巷76弄129、131、133、135、137、139號等1樓至5樓全棟建築物共30戶,103.06.16,112,拆除,
62,073-1464,95,士林區,士林區福林路251巷2弄1號至14號、253號及255巷1至7號等95戶(地上5層，地下1層),109.02.04,112,拆除,
63,069-1284,29,士林區,士林區中山北路7段81巷39、39之1、39之2、39之3地下1層至地上7層全棟計29戶,104.07.30,113,拆除,
64,075-0141,15,中正區,中正區南海路70、70-1、72號建築物共15戶,109.11.04,113,拆除,
65,079-0323,13,信義區,信義區忠孝東路5段289號、289之1號、289之2號、291號等11戶建築物(地下2層，地上8層)等13戶,109.04.30,113,拆除,
66,073-1448,190,內湖區,內湖區內湖路一段683、685、687、689、691、695、697號及(1-10樓)及內湖路1段693巷1、2、3、4、5、6、7、8、9、10、11、13號(1至10樓),99.07.30,113,拆除,